50;2.73;0.178;3.77;0.308;
100;2.23;0.194;9.91;0.394;
5000;1.8;0.226;201;20.4;
10000;1.8;0.228;385;57.5;
15000;2.54;0.57;589;120;
20000;2.29;0.232;777;165;
25000;2.21;0.264;961;221;
30000;3.06;0.266;1.26e+03;277;
35000;2.17;0.244;1.43e+03;294;
40000;1.91;0.258;1.66e+03;405;
45000;2.22;0.266;2.08e+03;564;
50000;2.75;0.556;2.35e+03;591;
5000;2.44;0.257;203;21.7;
10000;3.46;1.55;482;71.7;
15000;4.21;0.29;852;188;
20000;3.22;0.453;1.14e+03;286;
25000;4.16;0.298;1.44e+03;274;
30000;2.64;0.255;1.46e+03;298;
35000;2.62;0.244;1.48e+03;362;
40000;2.13;0.258;1.7e+03;408;
45000;2.33;0.237;1.96e+03;457;
50000;2.31;0.259;2.34e+03;599;
